Name,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Elle,Adoption,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Tortie
Marla,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Black
nan,Transfer,Dog,Intact Female,4 weeks,Blue Lacy/American Bulldog,Red
Fred,Adoption,Dog,Neutered Male,5 months,Chihuahua Shorthair Mix,Black/White
Molly,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby/White
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
nan,Adoption,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black
Lucy,Adoption,Dog,Spayed Female,9 months,German Shepherd Mix,Black/Tan
nan,Transfer,Cat,Unknown,6 months,Domestic Shorthair Mix,Orange Tabby
Luke,Adoption,Dog,Neutered Male,2 years,Queensland Heeler Mix,Black/Tan
Cora,Return_to_owner,Dog,Spayed Female,4 months,Siberian Husky Mix,Black/White
Pagani,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White
Ty,Adoption,Dog,Neutered Male,5 months,Boxer Mix,Brown/White
Waffles,Adoption,Dog,Spayed Female,2 months,Cairn Terrier Mix,Tan
Speedy,Transfer,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black
Samantha,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Medium Hair,Black
Bruce,Return_to_owner,Dog,Neutered Male,5 years,Pit Bull Mix,Tan
nan,Transfer,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,White/Cream
Lexie,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
nan,Transfer,Dog,Intact Female,2 years,Pit Bull Mix,Tan/White
Lemmy,Adoption,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Fawn/Brown Brindle
Raven,Transfer,Dog,Spayed Female,3 years,Labrador Retriever/Border Terrier,Black
Mattie,Return_to_owner,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Brown/Black
Pearl,Transfer,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Dog,Neutered Male,2 years,Havanese,White/Blue
Jasmine,Transfer,Dog,Intact Female,1 year,Dachshund/Chihuahua Shorthair,Cream/White
nan,Euthanasia,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
nan,Adoption,Dog,Spayed Female,4 months,Labrador Retriever Mix,Brown/White
King Bacon,Adoption,Dog,Neutered Male,9 months,Pit Bull Mix,Brown/White
Sammy,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair,Cream Tabby
Simba,Adoption,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Tan
nan,Transfer,Dog,Intact Male,2 months,Chihuahua Longhair Mix,Black
Lucy,Return_to_owner,Dog,Spayed Female,7 years,Border Collie,Black/White
Denny,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
Honey,Return_to_owner,Dog,Spayed Female,3 years,German Shepherd/Labrador Retriever,Red/Tan
Hubble,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
Mittens,Return_to_owner,Cat,Spayed Female,9 years,Domestic Medium Hair Mix,Black
Loki,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
Lola,Adoption,Dog,Spayed Female,2 months,Dachshund/Chihuahua Shorthair,Black/White
nan,Transfer,Dog,Intact Male,3 months,Dachshund Mix,Tan
Smore,Adoption,Dog,Spayed Female,5 years,Miniature Poodle,Black/Tan
Chevy,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby
Cookie Monst,Transfer,Dog,Spayed Female,6 months,Bruss Griffon Mix,Orange/Tan
nan,Adoption,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
nan,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
Clancy,Transfer,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Black/Brown
Griffin,Transfer,Dog,Intact Male,6 months,German Shorthair Pointer Mix,White/Tan
Tulip,Transfer,Dog,Spayed Female,1 year,Harrier/Catahoula,Tan/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
Hannah,Return_to_owner,Dog,Spayed Female,4 years,Maltese Mix,White
Road Dog,Return_to_owner,Dog,Neutered Male,6 months,Pit Bull Mix,Brown
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue
nan,Adoption,Dog,Spayed Female,2 months,German Shorthair Pointer/Australian Cattle Dog,Blue Tick
nan,Adoption,Dog,Spayed Female,2 months,Dachshund Mix,Tan/White
nan,Adoption,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black
Teddy,Adoption,Dog,Neutered Male,5 years,Australian Kelpie,Black/White
nan,Euthanasia,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
nan,Died,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue
nan,Died,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby/White
Asap,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle
nan,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
Prissy,Adoption,Dog,Spayed Female,8 years,Boxer Mix,Brown Brindle/White
Jason,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Cream Tabby/White
Brandi,Transfer,Dog,Spayed Female,10 years,Australian Cattle Dog Mix,Red Merle
nan,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
Dexter,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black
Captain,Return_to_owner,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Black/Tan
nan,Transfer,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
nan,Euthanasia,Dog,Neutered Male,11 years,Rottweiler Mix,Black/Brown
Reggie,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
Frankie,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
Snoopy,Transfer,Dog,Intact Male,1 year,German Shepherd Mix,Brown
nan,Adoption,Cat,Neutered Male,1 month,Siamese,Flame Point
nan,Transfer,Cat,Intact Male,3 years,American Shorthair Mix,Black/White
nan,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Orange Tabby/White
Otis,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow
nan,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Orange Tabby
Emily Rae,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby
Penny,Adoption,Dog,Spayed Female,4 months,Labrador Retriever Mix,Black
nan,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
Roo,Return_to_owner,Cat,Spayed Female,7 years,Domestic Medium Hair Mix,Black/White
Penny,Adoption,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Red
Tommy,Adoption,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White
Peetie,Return_to_owner,Dog,Neutered Male,5 months,Boston Terrier/Chihuahua Shorthair,Tricolor
Tulip,Transfer,Cat,Spayed Female,5 years,Domestic Medium Hair Mix,Black/Brown
Forest,Transfer,Dog,Neutered Male,5 years,Bullmastiff Mix,Fawn/Black
Josephine,Return_to_owner,Dog,Spayed Female,12 years,Jack Russell Terrier Mix,White/Black
Leo,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair/Italian Greyhound,White/Brown
Julie,Adoption,Dog,Spayed Female,1 year,Labrador Retriever/Pointer,Black/White
nan,Adoption,Dog,Neutered Male,2 years,West Highland,White
Ginger,Adoption,Dog,Spayed Female,1 month,Chihuahua Shorthair/Cairn Terrier,Brown
Missy,Euthanasia,Dog,Intact Female,2 years,Pit Bull Mix,White/Black
nan,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
nan,Euthanasia,Cat,Intact Female,3 years,Domestic Shorthair Mix,Orange Tabby
nan,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black
Marley,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
nan,Transfer,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/Tan
nan,Euthanasia,Dog,Intact Male,3 years,Pit Bull Mix,Red
nan,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor
Bungee,Euthanasia,Dog,Neutered Male,3 years,Yorkshire Terrier/Maltese,Cream
Shiloh,Transfer,Dog,Intact Female,1 year,German Shepherd Mix,Tan
Normal,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Fawn
Skittles,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
Portia,Adoption,Dog,Spayed Female,6 years,Labrador Retriever/Border Collie,Black/White
Merlyn,Transfer,Dog,Neutered Male,8 months,Pointer Mix,White/Brown
Princess,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,White/Black
Mitzi,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair,Buff
nan,Transfer,Cat,Intact Female,5 years,Domestic Shorthair Mix,Calico/White
Smokey,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
Kiki,Transfer,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby/White
nan,Transfer,Cat,Unknown,8 months,Domestic Shorthair Mix,Blue Tabby
Gatsby,Adoption,Dog,Neutered Male,4 years,Great Dane/Boxer,Black
Eliza,Adoption,Dog,Spayed Female,5 months,Plott Hound Mix,Brown Brindle
Nelson,Transfer,Dog,Intact Male,3 years,American Bulldog Mix,Brown Brindle/White
Gizmo,Died,Dog,Neutered Male,2 years,Chow Chow/Basset Hound,Brown
Moet,Return_to_owner,Dog,Spayed Female,8 years,Chihuahua Shorthair,Black/Brown
nan,Return_to_owner,Dog,Intact Female,1 month,Pit Bull Mix,Tan/White
Woody,Adoption,Dog,Neutered Male,10 years,German Shepherd Mix,Black/Tan
Roxie,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Blue Merle
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
Bruno,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair/Basset Hound,Brown Brindle
Fancy,Adoption,Dog,Spayed Female,2 months,Pointer Mix,White/Brown
nan,Transfer,Dog,Intact Female,2 months,German Shepherd/Labrador Retriever,Red/Black
Alex,Adoption,Dog,Neutered Male,5 months,American Foxhound/Pointer,White/Tan
nan,Transfer,Dog,Neutered Male,3 years,Dachshund Mix,Brown/White
Chewy,Return_to_owner,Dog,Neutered Male,4 months,Havanese Mix,Silver/Tan
Fletcher,Transfer,Dog,Intact Male,1 year,Shih Tzu/Pekingese,Tan
Tasha,Adoption,Dog,Spayed Female,5 years,American Staffordshire Terrier Mix,Tan/White
Pearl,Transfer,Dog,Spayed Female,10 years,Miniature Poodle Mix,White
Soot,Adoption,Cat,Neutered Male,7 months,Domestic Longhair Mix,Black/Black Smoke
nan,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie
King,Return_to_owner,Dog,Neutered Male,5 years,Labrador Retriever Mix,Black/Brown
Petey,Adoption,Dog,Neutered Male,8 months,American Bulldog Mix,White/Brown
Oreo,Euthanasia,Dog,Spayed Female,9 years,Pit Bull Mix,Black/White
Sasha,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
Miss Piggy,Adoption,Cat,Spayed Female,1 year,Japanese Bobtail Mix,Black
Dietz,Transfer,Dog,Neutered Male,2 years,Doberman Pinsch Mix,Black/Tan
Pulucha,Return_to_owner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Black/Blue Merle
Midnight,Euthanasia,Dog,Intact Female,2 years,Pit Bull/Chinese Sharpei,Black
Kira,Return_to_owner,Dog,Spayed Female,13 years,Pit Bull/Chinese Sharpei,Black/Gray
nan,Transfer,Cat,Intact Female,3 years,Domestic Shorthair Mix,Black/White
nan,Adoption,Dog,Neutered Male,2 months,Catahoula/Cardigan Welsh Corgi,Black/White
Mr Orange,Transfer,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby/White
Athena,Return_to_owner,Cat,Spayed Female,11 months,Domestic Shorthair Mix,Tortie
nan,Transfer,Cat,Intact Male,3 months,Siamese Mix,Flame Point
Korovyov,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
Canelo,Transfer,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/Tan
Cooper,Return_to_owner,Dog,Intact Male,2 years,Golden Retriever Mix,Tan
Wilbur,Adoption,Dog,Neutered Male,2 years,Pug Mix,Black/White
nan,Adoption,Dog,Spayed Female,2 years,German Shepherd/Collie Smooth,Black
Mallory,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
Frida,Transfer,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown
Abel,Return_to_owner,Dog,Intact Male,4 years,Pit Bull Mix,Brown/Chocolate
Ricky,Adoption,Dog,Neutered Male,4 years,Chihuahua Shorthair/Dachshund,White/Tan
nan,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
Sasha,Adoption,Dog,Spayed Female,2 months,Queensland Heeler Mix,Red/Red Tick
Cherie,Adoption,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Cream
Harmony,Adoption,Dog,Spayed Female,10 months,Border Collie/Chow Chow,Tan
Stella,Return_to_owner,Dog,Spayed Female,4 years,Pit Bull Mix,White
nan,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
Daisy,Transfer,Cat,Spayed Female,10 months,Domestic Medium Hair Mix,Black/White
Mini,Return_to_owner,Dog,Spayed Female,17 years,Chihuahua Shorthair Mix,Gray/White
Blitzen,Transfer,Dog,Intact Female,1 year,Australian Cattle Dog Mix,Black/Brown
Lucy,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Baiya,Return_to_owner,Dog,Spayed Female,2 years,Catahoula/Pit Bull,Brown/White
Chloe,Return_to_owner,Dog,Spayed Female,5 years,Dachshund Wirehair,Brown
Bambi,Return_to_owner,Dog,Spayed Female,6 years,Miniature Poodle Mix,White
Mary,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
Gq,Transfer,Dog,Intact Male,4 years,Shih Tzu,Tan/White
Tank,Adoption,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Dog,Neutered Male,2 months,Collie Smooth Mix,White/Black
Suey,Transfer,Dog,Intact Male,4 months,Labrador Retriever Mix,Tan
nan,Transfer,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Blue Tabby/White
nan,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Black/White
Max,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
nan,Died,Dog,Intact Male,1 year,Miniature Pinscher Mix,Red
Hoku,Return_to_owner,Dog,Intact Female,8 years,Chihuahua Shorthair/Miniature Pinscher,Black/Tan
nan,Euthanasia,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
Bear,Return_to_owner,Dog,Neutered Male,1 year,Chihuahua Longhair/West Highland,Cream
Sweetie Pie,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
nan,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black
Holmes,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Brodie,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie
Disco,Transfer,Dog,Neutered Male,6 months,Pointer Mix,Black/White
Marty,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
Buddy,Return_to_owner,Dog,Intact Male,2 years,Miniature Poodle Mix,Brown
Rylie,Return_to_owner,Dog,Neutered Male,10 years,Labrador Retriever,Yellow
Star,Transfer,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Brown Tabby/White
nan,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
Baby,Adoption,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White
nan,Euthanasia,Dog,Intact Male,2 years,Pit Bull Mix,Black
nan,Euthanasia,Dog,Intact Female,3 years,Miniature Poodle Mix,Gray
Harry,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Buzz,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
Four,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby/White
Crystal,Transfer,Dog,Spayed Female,9 months,Pbgv Mix,White/Blue
Jack,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown
Peluche,Adoption,Dog,Neutered Male,1 year,Miniature Poodle/Miniature Schnauzer,Silver/Tan
Rasputin,Adoption,Cat,Neutered Male,3 months,Russian Blue Mix,Blue
nan,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Black Tabby
nan,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
Junior,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
Jazzy,Transfer,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie
Lady,Adoption,Dog,Spayed Female,6 years,Smooth Fox Terrier Mix,Brown/White
Catfish,Died,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,White/Orange
Scout,Adoption,Dog,Intact Male,2 months,Miniature Pinscher/Chihuahua Shorthair,Brown/Black
Wanda,Adoption,Cat,Spayed Female,3 years,Siamese Mix,Flame Point
Billy,Return_to_owner,Dog,Neutered Male,13 years,Shetland Sheepdog/Pomeranian,Gold
nan,Transfer,Cat,Unknown,3 months,Domestic Medium Hair Mix,Blue/White
nan,Adoption,Dog,Spayed Female,1 month,German Shepherd/Labrador Retriever,Brown/Black
Ezra,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black Smoke/White
Taffy,Transfer,Dog,Spayed Female,3 years,Staffordshire Mix,Black Brindle/White
Susie,Transfer,Dog,Spayed Female,6 years,Australian Shepherd/Labrador Retriever,Blue Merle
Louie,Return_to_owner,Dog,Neutered Male,7 years,Chihuahua Shorthair,Black/Brown
Boris,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
Bindi,Adoption,Dog,Spayed Female,9 months,Black Mouth Cur Mix,Brown/White
nan,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
Nod,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
nan,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog/Labrador Retriever,Tan/White
Cash,Return_to_owner,Dog,Neutered Male,2 years,German Shepherd/Alaskan Husky,Sable
Sox,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Chocolate/White
nan,Died,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
Bella,Euthanasia,Dog,Spayed Female,3 years,Chow Chow/English Cocker Spaniel,Brown
Margot,Adoption,Dog,Spayed Female,2 years,Australian Shepherd Mix,Blue Merle/White
Sandy,Transfer,Dog,Spayed Female,4 years,Dachshund Mix,Cream/White
Owen,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown
Sgt. Buddy,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown Brindle/White
Luna,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
Cookie,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Dog,Neutered Male,4 months,Redbone Hound Mix,Red/White
Karma,Return_to_owner,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Black/Brown
Robbin,Transfer,Dog,Spayed Female,2 years,Toy Fox Terrier Mix,Tricolor
Maxi,Adoption,Dog,Neutered Male,6 months,Boxer Mix,Brown/White
nan,Transfer,Cat,Unknown,2 days,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Black/White
nan,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby
Chuey,Return_to_owner,Dog,Neutered Male,6 years,Shih Tzu Mix,Cream/White
nan,Transfer,Cat,Intact Male,2 years,Domestic Longhair Mix,Blue Tabby/White
Jammer,Transfer,Dog,Neutered Male,8 months,Australian Cattle Dog Mix,White/Black Brindle
Morrocco,Return_to_owner,Dog,Neutered Male,7 months,Labrador Retriever Mix,Yellow
nan,Transfer,Dog,Intact Male,2 days,Pit Bull Mix,Chocolate/White
Dora,Return_to_owner,Dog,Spayed Female,7 years,Labrador Retriever Mix,Brown Brindle
Beamer,Return_to_owner,Dog,Neutered Male,14 years,German Shorthair Pointer,Liver Tick
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
Marnie,Adoption,Dog,Spayed Female,10 years,Cocker Spaniel Mix,Cream
Moe,Transfer,Dog,Neutered Male,6 months,Labrador Retriever Mix,Black
Zeke,Transfer,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown
Lauren,Adoption,Dog,Spayed Female,1 year,Labrador Retriever/Rhod Ridgeback,Tan/Red
Dora,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie
nan,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,White/Chocolate Point
Nathan,Euthanasia,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black/Black
Jacob,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Smoke
nan,Transfer,Dog,Intact Female,1 weeks,Shih Tzu Mix,White/Brown
Charlie,Adoption,Dog,Neutered Male,5 years,Pbgv Mix,White/Brown
Pancho,Transfer,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Black/White
Snickers,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
Rufuss,Return_to_owner,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
Lana,Transfer,Dog,Spayed Female,6 years,Wire Hair Fox Terrier Mix,White/Tan
Leo,Return_to_owner,Dog,Neutered Male,1 year,Pharaoh Hound Mix,Tan/White
Max,Adoption,Dog,Neutered Male,4 years,Miniature Schnauzer Mix,Black
nan,Transfer,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Tortie
Sierra,Return_to_owner,Dog,Spayed Female,2 years,Catahoula Mix,Brown Merle/White
Lara,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown
Pompin,Return_to_owner,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan
Handlebar,Adoption,Dog,Neutered Male,2 months,Australian Kelpie Mix,Sable
nan,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
Crispin,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
Bella,Return_to_owner,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White
Barnaby,Adoption,Dog,Neutered Male,2 years,Yorkshire Terrier/Pomeranian,Cream/Red
nan,Transfer,Dog,Neutered Male,4 months,Whippet Mix,Black
Theodore,Adoption,Dog,Neutered Male,8 years,Pit Bull Mix,Red
Negra,Transfer,Dog,Spayed Female,8 months,Staffordshire/Boston Terrier,Black/White
Sebastian,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Silver Tabby
nan,Transfer,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Blue/White
Murphy,Return_to_owner,Dog,Neutered Male,2 years,Siberian Husky,Black/White
Poochie,Return_to_owner,Dog,Spayed Female,9 years,Pekingese Mix,White
nan,Return_to_owner,Dog,Intact Male,2 weeks,Pit Bull Mix,White/Tricolor
Ricardo,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,White/Blue
nan,Adoption,Cat,Spayed Female,7 years,Domestic Longhair Mix,Torbie/White
Zeezou,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Suzie,Return_to_owner,Dog,Spayed Female,2 years,Border Terrier Mix,Tan
Louise,Adoption,Dog,Spayed Female,8 years,Dachshund Mix,Brown
Nala,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
Yo,Transfer,Dog,Intact Male,2 years,German Shepherd Mix,Black/Brown
Pookie,Transfer,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White
Red Girl,Euthanasia,Dog,Spayed Female,1 year,Pit Bull Mix,Yellow Brindle/White
nan,Transfer,Dog,Spayed Female,4 years,Miniature Pinscher Mix,Black/Tan
nan,Transfer,Cat,Unknown,4 months,Domestic Medium Hair Mix,Black
Gizmo,Transfer,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,White/Chocolate
Angie,Adoption,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
Eddie,Adoption,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Tan
Tony,Euthanasia,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White
nan,Died,Dog,Intact Female,2 years,German Shepherd Mix,Black/Tan
nan,Transfer,Dog,Spayed Female,4 months,Boykin Span/Dachshund,Black/Tan
Ranger,Adoption,Dog,Intact Male,2 years,Golden Retriever/Chow Chow,Red/Black
Buster,Adoption,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Dog,Spayed Female,1 year,Rat Terrier Mix,Tricolor
nan,Transfer,Cat,Unknown,6 months,Domestic Shorthair Mix,Orange Tabby
Lala,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever Mix,White
Millie,Adoption,Dog,Spayed Female,1 year,German Shepherd/Labrador Retriever,Black
Gato,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Cream Tabby
nan,Transfer,Cat,Intact Male,1 year,Domestic Longhair Mix,Brown Tabby
Trina,Adoption,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tricolor
Tigey Sue,Euthanasia,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Brown Tabby/White
Heisenberg,Adoption,Dog,Neutered Male,10 months,Australian Cattle Dog Mix,Tricolor
Abby,Adoption,Dog,Spayed Female,1 year,Jack Russell Terrier Mix,White/Buff
Jonny Cash,Euthanasia,Dog,Neutered Male,3 years,Boxer/Labrador Retriever,Black
nan,Adoption,Dog,Spayed Female,3 months,Labrador Retriever Mix,Black/White
Chap,Return_to_owner,Dog,Neutered Male,7 years,Cocker Spaniel Mix,Black
nan,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
Ichigo,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Mimi,Adoption,Dog,Spayed Female,4 months,Border Collie Mix,Brown Brindle/White
