gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,Split( )(MultipleLines)_0,Split( )(OnlineSecurity)_0,Split( )(OnlineBackup)_0,Split( )(DeviceProtection)_0,Split( )(TechSupport)_0,Split( )(StreamingTV)_0,Split( )(StreamingMovies)_0,Split(-)(Contract)_1,Split( )(PaymentMethod)_1,Split(.)(TotalCharges)_1,SplitAlign( )(MultipleLines)_No,SplitAlign( )(MultipleLines)_Yes,SplitAlign( )(MultipleLines)_phone,SplitAlign( )(InternetService)_DSL,SplitAlign( )(InternetService)_Fiber,SplitAlign( )(InternetService)_No,SplitAlign( )(OnlineSecurity)_No,SplitAlign( )(OnlineSecurity)_Yes,SplitAlign( )(OnlineBackup)_No,SplitAlign( )(OnlineBackup)_Yes,SplitAlign( )(DeviceProtection)_No,SplitAlign( )(DeviceProtection)_Yes,SplitAlign( )(TechSupport)_No,SplitAlign( )(TechSupport)_Yes,SplitAlign( )(StreamingTV)_No,SplitAlign( )(StreamingTV)_Yes,SplitAlign( )(StreamingMovies)_No,SplitAlign( )(StreamingMovies)_Yes,SplitAlign( )(Contract)_Month-to-month,SplitAlign( )(Contract)_One,SplitAlign( )(Contract)_Two,SplitAlign( )(Contract)_year,SplitAlign( )(PaymentMethod)_(automatic),SplitAlign( )(PaymentMethod)_Bank,SplitAlign( )(PaymentMethod)_Credit,SplitAlign( )(PaymentMethod)_Electronic,SplitAlign( )(PaymentMethod)_Mailed,SplitAlign( )(PaymentMethod)_check,ExtractNumber((\d+))(customerID)_0,ExtractNumber((\d+\.\d+))(TotalCharges)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(TotalCharges)_0",ExtractNumber((\d{2}))(TotalCharges)_0,ExtractNumber((\d{4}))(TotalCharges)_0,ExtractNumber((\d+))(TotalCharges)_0,"ExtractWord([Month, year])(Contract)_0","ExtractWord([automatic, check])(PaymentMethod)_0",OneHot()(MultipleLines)_No,OneHot()(OnlineSecurity)_No,OneHot()(OnlineBackup)_No,OneHot()(DeviceProtection)_No,OneHot()(TechSupport)_No,OneHot()(StreamingTV)_No,OneHot()(StreamingMovies)_No,ExtractNumber((\d{4}))(Split(.)(TotalCharges)_0)_0,ExtractNumber((\d+))(Split(.)(TotalCharges)_1)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(Split(.)(TotalCharges)_1)_0",ExtractNumber((\d{2}))(Split(.)(TotalCharges)_1)_0,Numerical()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,OneHot()(Split(.)(TotalCharges)_1)_05,OneHot()(Split(.)(TotalCharges)_1)_1,OneHot()(Split(.)(TotalCharges)_1)_15,OneHot()(Split(.)(TotalCharges)_1)_2,OneHot()(Split(.)(TotalCharges)_1)_25,OneHot()(Split(.)(TotalCharges)_1)_3,OneHot()(Split(.)(TotalCharges)_1)_35,OneHot()(Split(.)(TotalCharges)_1)_4,OneHot()(Split(.)(TotalCharges)_1)_45,OneHot()(Split(.)(TotalCharges)_1)_5,OneHot()(Split(.)(TotalCharges)_1)_55,OneHot()(Split(.)(TotalCharges)_1)_6,OneHot()(Split(.)(TotalCharges)_1)_65,OneHot()(Split(.)(TotalCharges)_1)_7,OneHot()(Split(.)(TotalCharges)_1)_75,OneHot()(Split(.)(TotalCharges)_1)_8,OneHot()(Split(.)(TotalCharges)_1)_85,OneHot()(Split(.)(TotalCharges)_1)_9,OneHot()(Split(.)(TotalCharges)_1)_95,WordToNumber()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,ExtractNumber((\d+))(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0",ExtractNumber((\d{2}))(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,ExtractNumber((\d+))(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,ExtractNumber((\d{2}))(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,Numerical()(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,OneHot()(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_45,WordToNumber()(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1
Male,0,No,No,26,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),51.55,No,Yes,No,No,No,No,No,No,nan,card,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,4189.0,1295.4,1295.4,nan,1295.0,1295.0,year,automatic,0,1,1,1,1,1,1,1295.0,4.0,4.0,nan,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,nan,4.0,nan,4.0,0,4.0
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,No,No,No,No,No,No,No,No,nan,check,65,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,5562.0,19.65,19.65,19.0,nan,19.0,year,check,1,0,0,0,0,0,0,nan,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0,65.0
Male,1,No,No,70,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),44.05,No,No,No,Yes,Yes,No,Yes,No,nan,card,65,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1282.0,3011.65,3011.65,65.0,3011.0,3011.0,year,automatic,0,1,0,0,1,0,1,3011.0,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0,65.0
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,nan,check,15,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,9127.0,8093.15,8093.15,15.0,8093.0,8093.0,year,check,0,0,0,0,0,0,0,8093.0,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Male,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,94.4,Yes,No,No,Yes,No,No,Yes,Yes,nan,check,25,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,6270.0,5610.25,5610.25,25.0,5610.0,5610.0,year,check,1,1,0,1,1,0,0,5610.0,25.0,25.0,25.0,25.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,25.0
Female,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,No,Yes,No,Yes,No,No,Yes,Yes,to,check,65,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1641.0,3217.65,3217.65,65.0,3217.0,3217.0,Month,check,0,1,0,1,1,0,0,3217.0,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0,65.0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,Yes,No,No,No,No,No,No,No,to,check,85,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,107.0,19.85,19.85,19.0,nan,19.0,Month,check,1,0,0,0,0,0,0,nan,85.0,85.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,85.0
Female,0,No,No,14,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.25,No,Yes,No,Yes,No,No,No,No,nan,check,2,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,6994.0,773.2,773.2,nan,nan,773.0,year,check,0,1,0,1,1,1,1,nan,2.0,2.0,nan,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,nan,2.0,nan,2.0,0,2.0
Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,No,Yes,Yes,No,No,No,No,No,to,card,35,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1346.0,1029.35,1029.35,35.0,1029.0,1029.0,Month,automatic,0,0,1,1,1,1,1,1029.0,35.0,35.0,35.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0,35.0
Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.9,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,to,card,45,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,3992.0,669.45,669.45,45.0,nan,669.0,Month,automatic,0,1,0,0,0,0,0,nan,45.0,45.0,45.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,45.0
Female,0,No,No,46,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,79.2,No,Yes,Yes,No,Yes,No,Yes,Yes,nan,check,8,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,2933.0,3593.8,3593.8,nan,3593.0,3593.0,year,check,0,0,1,0,1,0,0,3593.0,8.0,8.0,nan,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0,8.0,8.0,nan,8.0,nan,8.0,0,8.0
Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,Yes,No,No,No,Yes,Yes,Yes,Yes,to,check,95,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,125.0,1553.95,1553.95,95.0,1553.0,1553.0,Month,check,1,1,1,0,0,0,0,1553.0,95.0,95.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0,95.0
Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.3,No,Yes,No,Yes,No,Yes,Yes,No,to,check,15,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,5461.0,3953.15,3953.15,15.0,3953.0,3953.0,Month,check,0,1,0,1,0,0,1,3953.0,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Male,0,No,No,39,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),49.8,No,No,No,No,No,Yes,No,No,nan,transfer,15,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,4835.0,1971.15,1971.15,15.0,1971.0,1971.0,year,automatic,1,1,1,1,0,1,1,1971.0,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Male,1,No,No,21,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.05,Yes,No,No,No,Yes,No,Yes,No,to,transfer,15,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,8399.0,1236.15,1236.15,15.0,1236.0,1236.0,Month,automatic,1,1,1,0,1,0,1,1236.0,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Male,0,No,No,57,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.75,No,No,Yes,No,Yes,No,Yes,Yes,to,check,nan,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,3164.0,nan,3196.0,nan,3196.0,3196.0,Month,check,0,0,1,0,1,0,0,3196.0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,45.0,45.0,nan,1,nan
Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,93.45,No,No,No,No,No,Yes,Yes,Yes,nan,check,2,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,887.0,4872.2,4872.2,nan,4872.0,4872.0,year,check,1,1,1,1,0,0,0,4872.0,2.0,2.0,nan,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,nan,2.0,nan,2.0,0,2.0
Male,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,87.9,No,No,Yes,No,Yes,No,Yes,No,to,check,5,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,4660.0,1500.5,1500.5,nan,1500.0,1500.0,Month,check,1,0,1,0,1,0,1,1500.0,5.0,5.0,nan,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,nan,5.0,nan,5.0,0,5.0
Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.15,Yes,Yes,No,No,No,No,No,Yes,to,check,15,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,5673.0,60.15,60.15,60.0,nan,60.0,Month,check,0,1,1,1,1,1,0,nan,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Female,0,Yes,No,58,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),61.05,No,Yes,Yes,No,No,Yes,No,No,nan,transfer,75,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,7670.0,3478.75,3478.75,75.0,3478.0,3478.0,year,automatic,0,0,1,1,0,1,1,3478.0,75.0,75.0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0,75.0
Female,1,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.05,No,Yes,No,No,Yes,No,Yes,Yes,nan,transfer,55,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,8089.0,7413.55,7413.55,55.0,7413.0,7413.0,year,automatic,0,1,1,0,1,0,0,7413.0,55.0,55.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,0,55.0
Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,No,No,No,No,Yes,Yes,Yes,Yes,nan,check,nan,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,80.0,nan,3532.0,nan,3532.0,3532.0,year,check,1,1,1,0,0,0,0,3532.0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,45.0,45.0,nan,1,nan
Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),85.7,No,No,No,No,Yes,No,No,Yes,to,card,75,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,3916.0,256.75,256.75,75.0,nan,256.0,Month,automatic,1,1,1,0,1,1,0,nan,75.0,75.0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0,75.0
Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.85,No,Yes,Yes,Yes,No,No,Yes,Yes,nan,check,25,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,6807.0,3887.25,3887.25,25.0,3887.0,3887.0,year,check,0,0,0,1,1,0,0,3887.0,25.0,25.0,25.0,25.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,25.0
Male,0,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69.15,No,Yes,Yes,Yes,Yes,Yes,No,No,nan,card,15,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,8221.0,2490.15,2490.15,15.0,2490.0,2490.0,year,automatic,0,0,0,0,0,1,1,2490.0,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.45,Yes,Yes,No,No,Yes,No,Yes,No,to,check,45,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1579.0,593.45,593.45,45.0,nan,593.0,Month,check,0,1,1,0,1,0,1,nan,45.0,45.0,45.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,45.0
Female,0,No,No,47,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,74.45,No,No,No,No,Yes,Yes,Yes,Yes,nan,check,3,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,5232.0,3510.3,3510.3,nan,3510.0,3510.0,year,check,1,1,1,0,0,0,0,3510.0,3.0,3.0,nan,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,nan,3.0,nan,3.0,0,3.0
Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.45,No,No,No,Yes,No,No,No,No,to,check,45,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,8967.0,765.45,765.45,45.0,nan,765.0,Month,check,1,1,0,1,1,1,1,nan,45.0,45.0,45.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,45.0
Female,1,Yes,No,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.0,No,No,No,Yes,No,No,No,Yes,to,check,35,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,4468.0,1259.35,1259.35,35.0,1259.0,1259.0,Month,check,1,1,0,1,1,1,0,1259.0,35.0,35.0,35.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0,35.0
Male,0,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,85.25,No,Yes,Yes,Yes,No,Yes,Yes,Yes,nan,check,35,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,455.0,5538.35,5538.35,35.0,5538.0,5538.0,year,check,0,0,0,1,0,0,0,5538.0,35.0,35.0,35.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0,35.0
Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.45,No,No,No,No,No,No,No,No,to,card,85,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,8944.0,340.85,340.85,85.0,nan,340.0,Month,automatic,1,0,0,0,0,0,0,nan,85.0,85.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,85.0
Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.75,No,No,No,No,No,No,No,No,nan,transfer,45,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,5542.0,844.45,844.45,45.0,nan,844.0,year,automatic,1,0,0,0,0,0,0,nan,45.0,45.0,45.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,45.0
Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,78.9,No,Yes,Yes,No,No,No,No,No,to,check,95,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,7126.0,1348.95,1348.95,95.0,1348.0,1348.0,Month,check,0,0,1,1,1,1,1,1348.0,95.0,95.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0,95.0
Male,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.5,No,Yes,No,Yes,No,Yes,Yes,Yes,nan,card,nan,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,5370.0,nan,3778.0,nan,3778.0,3778.0,year,automatic,0,1,0,1,0,0,0,3778.0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,45.0,45.0,nan,1,nan
Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,No,No,No,Yes,No,No,No,No,to,check,65,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,6789.0,611.65,611.65,65.0,nan,611.0,Month,check,1,1,0,1,1,1,1,nan,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0,65.0
Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.25,Yes,No,No,Yes,No,No,Yes,Yes,nan,transfer,95,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,3927.0,4867.95,4867.95,95.0,4867.0,4867.0,year,automatic,1,1,0,1,1,0,0,4867.0,95.0,95.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0,95.0
Female,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.0,No,Yes,No,No,No,No,No,No,nan,check,05,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,9087.0,1505.05,1505.05,5.0,1505.0,1505.0,year,check,0,0,0,0,0,0,0,1505.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5.0
Male,0,Yes,Yes,18,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.55,No,No,No,No,No,No,No,No,to,card,85,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,6791.0,467.85,467.85,85.0,nan,467.0,Month,automatic,0,1,1,1,1,1,1,nan,85.0,85.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,85.0
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,Yes,Yes,No,No,No,No,No,No,to,check,9,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,6358.0,74.9,74.9,74.0,nan,74.0,Month,check,0,1,1,1,1,1,1,nan,9.0,9.0,nan,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,nan,9.0,nan,9.0,0,9.0
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,No,No,No,No,No,No,No,No,to,check,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,6077.0,194.2,194.2,nan,nan,194.0,Month,check,1,1,1,1,1,1,1,nan,2.0,2.0,nan,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,nan,2.0,nan,2.0,0,2.0
